pick,player,position,nfl_team,salary,fantasy_team
1,Breece Hall,RB,NYJ,60,Who needs a qb?
2,Bijan Robinson,RB,Atl,63,The Big Arch
3,Garrett Wilson,WR,NYJ,41,Who needs a qb?
4,Puka Nacua,WR,LAR,35,Congrats on the w...
5,Christian McCaffrey,RB,SF,70,Return of the Mac
6,Aaron Rodgers,QB,Pit,6,Who needs a qb?
7,CeeDee Lamb,WR,Dal,53,FNU
8,Saquon Barkley,RB,Phi,46,FNU
9,Justin Jefferson,WR,Min,53,MERDY
10,Tyreek Hill,WR,Mia,57,The Big Arch
11,Jonathan Taylor,RB,Ind,52,King
12,Amon-Ra St. Brown,WR,Det,47,Collusion Campers
13,Isiah Pacheco,RB,Det,30,King
14,Josh Allen,QB,Buf,58,Congrats on the w...
15,Ja'Marr Chase,WR,Cin,50,MERDY
16,Joe Burrow,QB,Cin,22,Team Taruchus
17,Kyren Williams,RB,LAR,37,Congrats on the w...
18,Travis Kelce,TE,KC,26,Team Taruchus
19,Davante Adams,WR,LAR,25,King
20,Jalen Hurts,QB,Phi,34,jamie's Ingenious...
21,A.J. Brown,WR,NE,43,Congrats on the w...
22,Travis Etienne Jr.,RB,NO,32,Collusion Campers
23,Sam LaPorta,TE,Det,20,jamie's Ingenious...
24,Patrick Mahomes,QB,KC,51,FNU
25,Jahmyr Gibbs,RB,Det,39,Team Taruchus
26,Jordan Love,QB,GB,25,Collusion Campers
27,Kyler Murray,QB,Min,37,Who needs a qb?
28,De'Von Achane,RB,Mia,32,Team Taruchus
29,Cooper Kupp,WR,Sea,27,King
30,Lamar Jackson,QB,Bal,55,Collusion Campers
31,Derrick Henry,RB,Bal,39,jamie's Ingenious...
32,Marvin Harrison Jr.,WR,Ari,32,Team Taruchus
33,Michael Pittman Jr.,WR,Pit,14,The Big Arch
34,Anthony Richardson Sr.,QB,Ind,43,MERDY
35,Mike Evans,WR,SF,14,jamie's Ingenious...
36,Brandon Aiyuk,WR,SF,24,King
37,Drake London,WR,Atl,30,Team Taruchus
38,Joe Mixon,RB,Hou,16,MERDY
39,Chris Olave,WR,NO,28,Return of the Mac
