player_name,team,position,role_tier,touch_share,target_share,job_security,team_changed,new_play_caller,situation_note,confidence,last_updated
Christian McCaffrey,SF,RB,bell_cow,,,,0,0,"Elite when healthy; age/health are the flags, not role.",medium,2026-08-18
Jonathan Taylor,IND,RB,bell_cow,,,,0,0,Workhorse role intact.,high,2026-08-18
Bijan Robinson,ATL,RB,bell_cow,,,,0,1,"Stefanski HC run-heavy. Allgeier gone, no RZ competition. Led NFL 2298 scrimmage yds.",high,2026-08-18
Jahmyr Gibbs,DET,RB,bell_cow,,,,0,0,"Montgomery traded to HOU - fewer mouths. Elite dual-threat, 117 catches 2025.",high,2026-08-18
De'Von Achane,MIA,RB,lead_committee,,,,0,1,Tua AND McDaniel both gone. Led NFL 5.7 YPC but new offense = target/TD decline risk.,medium,2026-08-18
James Cook,BUF,RB,lead_committee,,,,0,1,"Joe Brady now HC, Carmichael OC. Continuity otherwise.",medium,2026-08-18
Derrick Henry,BAL,RB,lead_committee,,,,0,1,McDaniel OC - new system may cut run volume. Has mocked age models repeatedly.,medium,2026-08-18
Chase Brown,CIN,RB,lead_committee,,,,0,0,Efficient 3-down back; OL and crowded backfield are the risks.,medium,2026-08-18
Kyren Williams,LA,RB,lead_committee,,,,0,0,Top-10 RB in FPPG three straight seasons. Consistency over upside.,high,2026-08-18
Travis Etienne,NO,RB,lead_committee,,,,1,1,Left JAX.,medium,2026-08-18
James Conner,ARI,RB,,,,,0,0,,,
Javonte Williams,DAL,RB,bell_cow,,,,0,0,RB1 value 2025 as workhorse; paid to return to that role.,high,2026-08-18
Joe Mixon,HOU,RB,backup,,,,0,1,Montgomery reported as featured back in HOU.,low,2026-08-18
Josh Jacobs,GB,RB,lead_committee,,,,0,0,"RISK: May arrest, investigation ongoing. Role safe if available.",low,2026-08-18
Ashton Jeanty,LV,RB,bell_cow,,,,0,1,Kubiak OC heavy personnel. Also gets Cousins checkdowns.,medium,2026-08-18
Saquon Barkley,PHI,RB,lead_committee,,,,0,1,Sean Mannion first-time OC. Reverted across the board in 2025 after 2024 outlier.,medium,2026-08-18
D'Andre Swift,CHI,RB,even_committee,,,,0,0,Monangai's share grew late 2025. Ben Johnson uses two backs.,medium,2026-08-18
Jaylen Warren,PIT,RB,even_committee,,,,0,1,UPDATE Aug: now behind Dowdle per camp reports. Still PPR-relevant.,medium,2026-08-18
Rico Dowdle,PIT,RB,lead_committee,,,,1,1,UPDATE Aug: multiple reports have Dowdle as primary runner AHEAD of Warren. McCarthy favorite from Dallas.,medium,2026-08-18
Breece Hall,NYJ,RB,lead_committee,,,,0,0,,medium,2026-08-18
TreVeyon Henderson,NE,RB,lead_committee,,,,0,1,'Backup in name only' - 25.1% touch share vs Stevenson 18.9%.,medium,2026-08-18
Najee Harris,PIT,RB,,,,,0,0,,,
Kenny Gainwell,PIT,RB,,,,,0,0,,,
RJ Harvey,DEN,RB,even_committee,,,,0,0,2025 production came mostly with Dobbins hurt. Coleman also drafted.,medium,2026-08-18
Kenneth Walker III,SEA,RB,,,,,0,0,,,
Zach Charbonnet,SEA,RB,handcuff,,,,0,1,Returning from torn ACL.,low,2026-08-18
Tony Pollard,TEN,RB,lead_committee,,,,0,0,,medium,2026-08-18
Rhamondre Stevenson,NE,RB,even_committee,,,,0,1,Started 13 of 14 in 2025 despite Henderson hype.,medium,2026-08-18
Quinshon Judkins,CLE,RB,bell_cow,,,,0,1,Monken featured Chubb and Henry as bell cows.,medium,2026-08-18
David Montgomery,HOU,RB,lead_committee,,,,1,1,"Traded to HOU, reports say featured back. Worst season 2025 (8.5 half-PPR).",medium,2026-08-18
Tyrone Tracy Jr.,NYG,RB,,,,,0,0,,,
Kyle Monangai,CHI,RB,even_committee,,,,0,0,Near 50-50 split likely. Cheaper than Swift.,medium,2026-08-18
Kareem Hunt,KC,RB,,,,,0,0,,,
Jacory Croskey-Merritt,WAS,RB,even_committee,,,,0,1,1-2 punch with White.,low,2026-08-18
Woody Marks,HOU,RB,,,,,0,0,,,
Bucky Irving,TB,RB,lead_committee,,,,0,0,20.4 touches/gm led his tier but 50th in RYOE. Gainwell/Tucker could eat in.,medium,2026-08-18
Rachaad White,WAS,RB,lead_committee,,,,1,1,50+ catches in 3 of 4 seasons. Thin WR room past McLaurin. Half-PPR target.,medium,2026-08-18
Jordan Mason,MIN,RB,even_committee,,,,0,0,Could be named starter over Jones.,low,2026-08-18
Omarion Hampton,LAC,RB,lead_committee,,,,0,1,Yr2. Rookie injuries. Going in first 15 picks - market above our model.,medium,2026-08-18
Alexander Mattison,LV,RB,,,,,0,0,,,
