player_name,team,position,role_tier,touch_share,target_share,job_security,team_changed,new_play_caller,situation_note,confidence,last_updated
Trey McBride,ARI,TE,featured_te,,,,0,0,"NFL single-season TE reception record 2025: 126/169 tgts, 1239 yds, 11 TD. 14.4 half-PPR ppg, next best was 12.1.",high,2026-08-18
Kyle Pitts,ATL,TE,te1,,,,0,1,New OC with history of 25%+ of team targets to TEs. Quality 2025 campaign. Often available rounds 7+.,medium,2026-08-18
Travis Kelce,KC,TE,te1,,,,0,0,Not the same athlete but still a target hog at a thin position. Available in double-digit rounds.,medium,2026-08-18
Dallas Goedert,PHI,TE,te1,,,,0,1,Tied for TE TD lead (11) in 2025. Mannion first-time OC.,medium,2026-08-18
Tyler Warren,IND,TE,te1_plus,,,,0,0,"Led IND in targets as rookie (112) with Pittman still there. Pittman now gone — clear path to 7-8 tgt/gm (te1_plus threshold).",high,2026-08-18
Harold Fannin Jr.,CLE,TE,,,,,0,0,,,
Hunter Henry,NE,TE,te2,,,,0,1,A.J. Brown arrival cuts into the room.,low,2026-08-18
Jake Ferguson,DAL,TE,te1,,,,0,0,TE5 in 2025 with healthy Dak; TE9 in 2023 same condition. 3rd among TEs in targets/receptions since 2023 but only TE12 ADP. 7.3 yds/catch is the flag.,medium,2026-08-18
Brock Bowers,LV,TE,featured_te,,,,0,1,14.5+ rec PPR ppg both seasons despite bottom-3 team passing. Cousins/Mendoza upgrade over Geno. No true WR1 = 150+ targets.,high,2026-08-18
Juwan Johnson,NO,TE,,,,,0,0,,,
Dalton Schultz,HOU,TE,,,,,0,0,,,
Colston Loveland,CHI,TE,te1_plus,,,,0,0,"TE2 from Wk9, dominant final 4 games (10+ tgts each). DJ Moore gone. Full-season te1_plus target share now realistic.",high,2026-08-18
George Kittle,SF,TE,te1,,,,0,0,RISK: working back from torn Achilles. Elite when right (90+ PFF receiving) but may miss start and be rusty at 33.,low,2026-08-18
AJ Barner,SEA,TE,,,,,0,0,,,
Colby Parkinson,LA,TE,,,,,0,0,,,
Mark Andrews,BAL,TE,te2,,,,0,1,Behind Likely. Still projects double-digit ppg per some tiers.,low,2026-08-18
Oronde Gadsden II,LAC,TE,,,,,0,0,,,
Dalton Kincaid,BUF,TE,te1,,,,0,1,"Brady HC, Carmichael OC. DJ Moore added to the room.",low,2026-08-18
Theo Johnson,NYG,TE,,,,,0,0,,,
Zach Ertz,WAS,TE,,,,,0,0,,,
Tucker Kraft,GB,TE,te1_plus,,,,0,0,"Doubs AND Wicks both left — thinnest GB WR room in years. te1_plus volume projection justified if healthy. Knee recovery is the only flag.",medium,2026-08-18
Chig Okonkwo,TEN,TE,,,,,0,0,,,
Brenton Strange,JAX,TE,te1,,,,0,0,,low,2026-08-18
Pat Freiermuth,PIT,TE,,,,,0,0,,,
Cade Otton,TB,TE,te1,,,,0,0,,low,2026-08-18
T.J. Hockenson,MIN,TE,te1,,,,0,0,,medium,2026-08-18
Sam LaPorta,DET,TE,te1,,,,0,1,"NEW OC Drew Petzing from ARI - he made McBride the overall TE1. Efficiency peaked in 2025 (career-high catch rate, YPRR); volume is the bet.",medium,2026-08-18
Dawson Knox,BUF,TE,,,,,0,0,,,
Evan Engram,DEN,TE,te1,,,,0,0,,low,2026-08-18
Darren Waller,MIA,TE,,,,,0,0,,,
Jake Tonges,SF,TE,,,,,0,0,,,
Jordan Akins,CLE,TE,,,,,0,0,,,
David Njoku,LAC,TE,te1,,,,0,1,McDaniel-tree offense.,low,2026-08-18
Gunnar Helm,TEN,TE,,,,,0,0,,,
Mason Taylor,NYJ,TE,,,,,0,0,,,
Jonnu Smith,PIT,TE,te1,,,,0,1,McCarthy offense.,low,2026-08-18
Cole Kmet,CHI,TE,,,,,0,0,,,
Tyler Higbee,LA,TE,te2,,,,0,0,,low,2026-08-18
Darnell Washington,PIT,TE,,,,,0,0,,,
Noah Fant,CIN,TE,,,,,0,0,,,
Mike Gesicki,CIN,TE,,,,,0,0,,,
Michael Mayer,LV,TE,,,,,0,0,,,
Davis Allen,LA,TE,,,,,0,0,,,
Tommy Tremble,CAR,TE,,,,,0,0,,,
Daniel Bellinger,NYG,TE,,,,,0,0,,,
Greg Dulcich,MIA,TE,,,,,0,0,,,
Austin Hooper,NE,TE,,,,,0,0,,,
Isaiah Likely,BAL,TE,te1,,,,0,1,McDaniel OC. Could fall a tier if Nabers is 100%.,low,2026-08-18
Josh Oliver,MIN,TE,,,,,0,0,,,
Terrance Ferguson,LA,TE,,,,,0,0,,,
Jackson Hawes,BUF,TE,,,,,0,0,,,
Elijah Higgins,ARI,TE,,,,,0,0,,,
Nick Vannett,TEN,TE,,,,,0,0,,,
Ja'Tavion Sanders,CAR,TE,,,,,0,0,,,
Mitchell Evans,CAR,TE,,,,,0,0,,,
Tanner Hudson,CIN,TE,,,,,0,0,,,
Luke Musgrave,GB,TE,,,,,0,0,,,
Taysom Hill,NO,TE,,,,,0,0,,,
Adam Trautman,DEN,TE,,,,,0,0,,,
Jeremy Ruckert,NYJ,TE,,,,,0,0,,,
Charlie Kolar,BAL,TE,,,,,0,0,,,
Brock Wright,DET,TE,,,,,0,0,,,
Elijah Arroyo,SEA,TE,,,,,0,0,,,
Noah Gray,KC,TE,,,,,0,0,,,
Hunter Long,JAX,TE,,,,,0,0,,,
Erick All,CIN,TE,,,,,0,0,,,
Lucas Krull,DEN,TE,,,,,0,0,,,
Drew Sample,CIN,TE,,,,,0,0,,,
Mo Alie-Cox,IND,TE,,,,,0,0,,,
Luke Farrell,SF,TE,,,,,0,0,,,
Julian Hill,MIA,TE,,,,,0,0,,,
Ben Sinnott,WAS,TE,,,,,0,0,,,
John Bates,WAS,TE,,,,,0,0,,,
Luke Schoonmaker,DAL,TE,,,,,0,0,,,
Brevyn Spann-Ford,DAL,TE,,,,,0,0,,,
John FitzPatrick,GB,TE,,,,,0,0,,,
Grant Calcaterra,PHI,TE,,,,,0,0,,,
Ian Thomas,LV,TE,,,,,0,0,,,
Johnny Mundt,JAX,TE,,,,,0,0,,,
Will Dissly,LAC,TE,,,,,0,0,,,
Quintin Morris,JAX,TE,,,,,0,0,,,
Cade Stover,HOU,TE,,,,,0,0,,,
Tyler Conklin,LAC,TE,,,,,0,0,,,
Nate Adkins,DEN,TE,,,,,0,0,,,
Jack Stoll,NO,TE,,,,,0,0,,,
Tanner Conner,MIA,TE,,,,,0,0,,,
Kenny Yeboah,NYJ,TE,,,,,0,0,,,
MyCole Pruitt,PIT,TE,,,,,0,0,,,
