player_name,team,position,role_tier,touch_share,target_share,job_security,team_changed,new_play_caller,situation_note,confidence,last_updated
Puka Nacua,LA,WR,alpha_wr,,,,0,0,20.0 ppg over 3 years - highest in football.,high,2026-08-18
Jaxon Smith-Njigba,SEA,WR,alpha_wr,,,,0,0,"2025 breakout: 119/1793/10 on 163 tgts, 17.2 half-PPR ppg. Walker gone + Charbonnet knee = SEA may struggle to run. Same WR cast, little competition.",high,2026-08-18
Amon-Ra St. Brown,DET,WR,alpha_wr,,,,0,0,"3 straight seasons 115+ catches, 1263+ yds, 10+ TD. Competition from LaPorta/Jameson/Gibbs but Goff won't leave him.",high,2026-08-18
Ja'Marr Chase,CIN,WR,alpha_wr,,,,0,0,"31.5% target share with Burrow, 37.3% air yards, 2.19 YPRR. 19.99 ppg over 3 yrs. Age 26 apex.",high,2026-08-18
George Pickens,DAL,WR,wr2,,,,0,0,Coming off a huge season.,medium,2026-08-18
Chris Olave,NO,WR,alpha_wr,,,,0,1,Career-best 2025. Kellen Moore pushes downfield (6th most attempts). Etienne signing stabilizes run; Tyson added draws some targets. Going WR11.,medium,2026-08-18
Zay Flowers,BAL,WR,alpha_wr,,,,0,1,McDaniel OC.,medium,2026-08-18
Davante Adams,LA,WR,wr2,,0.22,0.75,1,0,Age 34 on LA. Nacua alpha (25%) but Adams got 8+ tpg in 2025 alongside him — override to 0.22 share (6.6 tpg). Role safe; efficiency regresses post-TD-correction.,medium,2026-08-30
Nico Collins,HOU,WR,alpha_wr,,,,0,1,,medium,2026-08-18
Jameson Williams,DET,WR,wr2,,,,0,0,8.9 half-PPR ppg with LaPorta healthy vs 12.3 without. Capped while St. Brown and LaPorta play.,medium,2026-08-18
Courtland Sutton,DEN,WR,wr2,,,,0,0,FADE per multiple tiers - one of the older Tier 6 names.,low,2026-08-18
Tee Higgins,CIN,WR,wr2,,,,0,0,,medium,2026-08-18
Michael Wilson,ARI,WR,wr2,,,,0,0,,low,2026-08-18
A.J. Brown,NE,WR,alpha_wr,,,,1,1,Acquired ahead of Maye's 3rd year - same playbook BUF/MIA/PHI ran for Allen/Tua/Hurts. Maye 5th in RZ TDs (20). No NE pass catcher topped 19% air yards in 2025; Brown has taken 31.8%+ four years running.,medium,2026-08-18
Tetairoa McMillan,CAR,WR,alpha_wr,,,,0,0,,medium,2026-08-18
Wan'Dale Robinson,TEN,WR,slot,,,,1,0,"92/1014/4, WR16 finish in 2025. Now competing with rookie Carnell Tate. WR43 ranking called disrespectful.",medium,2026-08-18
Drake London,ATL,WR,alpha_wr,,,,0,1,Clear ATL WR1 regardless of QB uncertainty. Target share among best in football. Injury history is the flag.,medium,2026-08-18
Stefon Diggs,WAS,WR,wr2,,,,0,1,,low,2026-08-18
Emeka Egbuka,TB,WR,wr2,,,,0,0,Flagged as a potential ascender.,medium,2026-08-18
CeeDee Lamb,DAL,WR,alpha_wr,,,,0,0,Early-2025 injury clouded the season. Healthy Lamb is dominant - flagged as one of the year's best values.,medium,2026-08-18
DeVonta Smith,PHI,WR,wr2,,,,0,1,Mannion first-time OC; PHI likely slow-paced and run-heavy. Flagged as potential ascender.,low,2026-08-18
Michael Pittman,PIT,WR,wr2,,,,1,1,Traded from IND.,low,2026-08-18
Jaylen Waddle,DEN,WR,wr2,,,,1,0,,low,2026-08-18
Alec Pierce,IND,WR,wr2,,,,0,0,FADE: only WR in 20 years to hit 1000 yds with 20+ aDOT. Role not fantasy-friendly. Ankle surgery recovery.,low,2026-08-18
Justin Jefferson,MIN,WR,alpha_wr,,,0.85,0,1,McCarthy gone — new OC shifts scheme away from run-first. Jefferson is the unquestioned alpha with no real WR2 threat. 2025 down year was situation-specific; model will be conservative on him due to recency weighting.,high,2026-08-30
DK Metcalf,PIT,WR,wr2,,,,0,1,FADE per multiple tiers. McCarthy offense.,low,2026-08-18
Parker Washington,JAX,WR,wr3,,,,0,0,Turning heads in camp. Depressed cost from crowded JAX room.,low,2026-08-18
Deebo Samuel Sr.,WAS,WR,,,,,0,0,,,
Ladd McConkey,LAC,WR,alpha_wr,,,,0,1,Mike McDaniel calling plays. WR1 upside if targets per route or explosive rate rise.,medium,2026-08-18
DJ Moore,BUF,WR,wr2,,,,1,1,Traded to BUF in March. Preseason injury scare - reported 'good to go'.,medium,2026-08-18
Jauan Jennings,SF,WR,,,,,0,0,,,
Quentin Johnston,LAC,WR,,,,,0,0,,,
Troy Franklin,DEN,WR,,,,,0,0,,,
Keenan Allen,LAC,WR,,,,,0,0,,,
Jakobi Meyers,JAX,WR,wr2,,,,0,0,,low,2026-08-18
Romeo Doubs,GB,WR,,,,,0,0,,,
Tre Tucker,LV,WR,,,,,0,0,,,
Khalil Shakir,BUF,WR,slot,,,,0,1,,low,2026-08-18
Rashid Shaheed,SEA,WR,,,,,0,0,,,
Rome Odunze,CHI,WR,wr2,,,,0,0,"Projected 3rd in targets behind Loveland and Burden, but may be the best of the trio.",medium,2026-08-18
Rashee Rice,KC,WR,alpha_wr,,,,0,0,"Suspension served in 2025, no further discipline. Knee debris removed, ramping up in camp. Off-field noise gone.",medium,2026-08-18
Christian Watson,GB,WR,,,,,0,0,,,
Brian Thomas Jr.,JAX,WR,,,,,0,0,,,
Tank Dell,HOU,WR,,,,,0,0,,,
Jordan Addison,MIN,WR,wr2,,,,0,0,,low,2026-08-18
Marquise Brown,KC,WR,,,,,0,0,,,
Josh Downs,IND,WR,slot,,,,0,0,Pittman traded - 111 targets to redistribute. Flagged as a best-bet breakout.,medium,2026-08-18
Jayden Higgins,HOU,WR,,,,,0,0,,,
Kayshon Boutte,NE,WR,,,,,0,0,,,
Marvin Harrison Jr.,ARI,WR,,,,,0,0,,,
Luther Burden III,CHI,WR,,,,,0,0,,,
Chimere Dike,TEN,WR,,,,,0,0,,,
Amari Cooper,BUF,WR,,,,,0,0,,,
Elic Ayomanor,TEN,WR,,,,,0,0,,,
Jerry Jeudy,CLE,WR,wr2,,,,0,1,QB situation unresolved.,low,2026-08-18
Terry McLaurin,WAS,WR,alpha_wr,,,,0,1,"WR7 in FPPG during Daniels' 2024 rookie year (23.2% tgt share, 13 TD). Competition: Diggs, Okonkwo, rookie A. Williams. WR24 ADP with top-12 upside.",medium,2026-08-18
Ryan Flournoy,DAL,WR,,,,,0,0,,,
Malik Washington,MIA,WR,,,,,0,0,,,
Cooper Kupp,SEA,WR,,,,,0,0,,,
Mack Hollins,NE,WR,,,,,0,0,,,
Xavier Worthy,KC,WR,wr2,,,,0,0,,medium,2026-08-18
Jalen Nailor,MIN,WR,,,,,0,0,,,
Keon Coleman,BUF,WR,wr3,,,,0,1,DJ Moore added ahead of him.,low,2026-08-18
Garrett Wilson,NYJ,WR,alpha_wr,,,,0,0,,medium,2026-08-18
Xavier Hutchinson,HOU,WR,,,,,0,0,,,
DeMario Douglas,NE,WR,,,,,0,0,,,
Darius Slayton,NYG,WR,,,,,0,0,,,
Tez Johnson,TB,WR,,,,,0,0,,,
Marvin Mims Jr.,DEN,WR,,,,,0,0,,,
Jalen Coker,CAR,WR,,,,,0,0,,,
Kendrick Bourne,SF,WR,,,,,0,0,,,
Andrei Iosivas,CIN,WR,,,,,0,0,,,
